nome_titulo;titulo;data_ativacao_titulo;data_validade_titulo;cod_situacao;situacao;municipio;uf;processo;atividade;tipologia_licenciada;Latitude;Longitude;gerencia;situacao_processo;empreendimento;Localizacao;data_criacao_processo;ano_ativacao;ano_processo;estado;nome;ano_validade;pais;ponto;COUNT
Licença de Operação;11350;31/01/2019;31/01/2019;2;Ativo;Palestina Do Pará;PA;2013/0000039282;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Extração de Areia e/ou Cascalho em corpos hídricos;-5,748356;-48,294731;NURE-MAR;Arquivado;SUELMAR HERENIO MARTINS;Palestina Do Pará,PA, Brasil;29/11/2013;2019;2013;PARA;Licença de Operação;2019;BRASIL;POINT(-48.294731 -5.748356);1
Autorização;4118;08/08/2019;07/09/2019;2;Ativo;Santarém;PA;2018/0000006727;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Remoção de individuo arbóreo;-2,498472;-54,750583;NURE-SAN;Arquivado;PAULO DA SILVA SOUSA;Santarém,PA, Brasil;08/02/2018;2019;2018;PARA;AUTORIZAÇÃO PARA APROVEITAMENTO DE ÁRVORE CAÍDA;2019;BRASIL;POINT(-54.750583 -2.498472);1
Autorização;5092;22/11/2022;22/11/2023;2;Ativo;Barcarena;PA;2015/0000010512;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Supressões de vegetação para o uso alternativo do solo em floresta secundária;-1,508019;-48,618947;DLA;Encaminhado;COMPANHIA DOCAS DO PARA - PORTO DE VILA DO CONDE;Barcarena,PA, Brasil;16/04/2015;2022;2015;PARA;Autorização de Supressão de Vegetação.;2023;BRASIL;POINT(-48.618947 -1.508019);1
Autorização;5093;22/11/2022;22/11/2023;2;Ativo;Barcarena;PA;2015/0000010512;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-1,508019;-48,618947;DLA;Encaminhado;COMPANHIA DOCAS DO PARA - PORTO DE VILA DO CONDE;Barcarena,PA, Brasil;16/04/2015;2022;2015;PARA;Autorização de Manejo de Fauna;2023;BRASIL;POINT(-48.618947 -1.508019);1
Autorização;5603;05/07/2024;05/07/2025;2;Ativo;Barcarena;PA;2015/0000010512;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-1,508019;-48,618947;DLA;Encaminhado;COMPANHIA DOCAS DO PARA - PORTO DE VILA DO CONDE;Barcarena,PA, Brasil;16/04/2015;2024;2015;PARA;Autorização Fauna - AU;2025;BRASIL;POINT(-48.618947 -1.508019);1
Autorização;4202;23/10/2019;22/10/2020;2;Ativo;Ananindeua;PA;2017/0000025046;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-1,410278;-48,361667;DLA;Deferido;EQUATORIAL TRASMISSORA 7 SPE S.A;Ananindeua,PA, Brasil;28/07/2017;2019;2017;PARA;Autorização para Captura, Coleta, Resgate, Soltura e Transporte de Fauna Silvest;2020;BRASIL;POINT(-48.361667 -1.410278);1
Autorização;4204;23/10/2019;22/10/2020;2;Ativo;Ananindeua;PA;2017/0000025046;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Monitoramento de Fauna Silvestre;-1,410278;-48,361667;DLA;Deferido;EQUATORIAL TRASMISSORA 7 SPE S.A;Ananindeua,PA, Brasil;28/07/2017;2019;2017;PARA;Autorização para Monitoramento da Fauna Silvestre;2020;BRASIL;POINT(-48.361667 -1.410278);1
Autorização;4308;06/02/2020;05/02/2021;2;Ativo;Santarém;PA;2017/0000035665;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Inventário de Fauna Silvestre;-2,632692;-54,440371;NURE-SAN;Notificado;IVO LUIZ RUARO;Santarém,PA, Brasil;24/10/2017;2020;2017;PARA;Inventário de Fauna;2021;BRASIL;POINT(-54.4403708 -2.6326919);1
Autorização;4613;23/12/2020;23/12/2021;2;Ativo;Santarém;PA;2017/0000035665;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-2,632692;-54,440371;NURE-SAN;Notificado;IVO LUIZ RUARO;Santarém,PA, Brasil;24/10/2017;2020;2017;PARA;Autorização de resgate de fauna;2021;BRASIL;POINT(-54.4403708 -2.6326919);1
Autorização;4129;12/09/2019;11/09/2020;2;Ativo;Itaituba;PA;2018/0000038341;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-6,484594;-56,156453;DLA;Em análise;FAZENDA SÃO VICENTE I;Itaituba,PA, Brasil;13/08/2018;2019;2018;PARA;AUTORIZAR AFUGENTAMENTO, RESGATE TRANSPORTE E SOLTURA DE FAUNA;2020;BRASIL;POINT(-56.156453 -6.484594);1
Autorização;4083;11/07/2019;10/07/2020;2;Ativo;Prainha;PA;2018/0000059225;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-2,711439;-53,453456;DLA;Em análise;FAZENDA TATU;Prainha,PA, Brasil;17/12/2018;2019;2018;PARA;Autorização para afugentamento e resgate de fauna;2020;BRASIL;POINT(-53.453456 -2.711439);1
Autorização;4133;06/09/2019;05/09/2020;2;Ativo;Paragominas;PA;2019/0000014787;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-3,311028;-48,307806;DLA;Deferido;FAZENDA CACULÉ;Paragominas,PA, Brasil;15/04/2019;2019;2019;PARA;Autorizar Captura, coleta e transporte de fauna silvestre para inventário;2020;BRASIL;POINT(-48.307806 -3.311028);1
Autorização;4117;03/07/2020;03/07/2021;2;Ativo;Ourilândia Do Norte;PA;2019/0000010846;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Inventário de Fauna Silvestre;-6,755433;-51,068203;DLA;Deferido;PROJETO MUNDIAL - EXTRAÇÃO E TRANSPORTE DE MINÉRIO DE NÍQUEL;Ourilândia Do Norte,PA, Brasil;21/03/2019;2020;2019;PARA;Inventário de Fauna Cavernícola;2021;BRASIL;POINT(-51.068203 -6.755433);1
Autorização;4043;24/05/2019;23/05/2020;2;Ativo;Portel;PA;2018/0000055980;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-1,937989;-51,268933;DLA;Arquivado;SAMARA DE OLIVEIRA NASCIMENTO - FAZENDA CAPIXABA;Portel,PA, Brasil;27/11/2018;2019;2018;PARA;Autorização de afugentamento e resgate;2020;BRASIL;POINT(-51.268933 -1.937989);1
Autorização;4429;30/06/2020;30/06/2021;2;Ativo;Santarém;PA;2020/0000014550;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Reflorestamento /Agricultura/Pecuária em área alterada e/ou sub-utilizada;-2,651925;-54,555625;NURE-SAN;Deferido;Chácara Avideua - Luiz Carlos de Oliveira;Santarém,PA, Brasil;18/06/2020;2020;2020;PARA;Remoção de indivíduo arbóreo;2021;BRASIL;POINT(-54.555625 -2.651925);1
Autorização;5630;05/09/2024;05/09/2025;2;Ativo;Paragominas;PA;2020/0000014267;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-3,136327;-48,05782;NURE-PARAG;Deferido;FAZENDA VALPARAISO;Paragominas,PA, Brasil;16/06/2020;2024;2020;PARA;AU de Fauna;2025;BRASIL;POINT(-48.05782 -3.136327);1
Autorização;4781;26/08/2021;26/08/2022;2;Ativo;Paragominas;PA;2020/0000014267;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-3,136327;-48,05782;NURE-PARAG;Deferido;FAZENDA VALPARAISO;Paragominas,PA, Brasil;16/06/2020;2021;2020;PARA;AUTORIZAÇÃO PARA AFUGENTAMENTO, RESGATE, TRANSLOCAÇÃO E TRANSPORTE DE FAUNA;2022;BRASIL;POINT(-48.05782 -3.136327);1
Autorização;5143;26/12/2022;26/12/2023;2;Ativo;Paragominas;PA;2020/0000014267;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Supressão de vegetação para o uso alternativo do solo em floresta primária;-3,136327;-48,05782;NURE-PARAG;Deferido;FAZENDA VALPARAISO;Paragominas,PA, Brasil;16/06/2020;2022;2020;PARA;Queima Controlada de Leiras;2023;BRASIL;POINT(-48.05782 -3.136327);1
Autorização;4886;16/12/2021;16/12/2022;2;Ativo;Vitória Do Xingu;PA;2021/0000035440;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Supressões de vegetação para o uso alternativo do solo em floresta secundária;-2,989664;-52,264858;NURE-ALT;Arquivado;FAZENDA ESPACINHO;Vitória Do Xingu,PA, Brasil;22/10/2021;2021;2021;PARA;Supressão de vegetação secundária e queima controlada de leiras;2022;BRASIL;POINT(-52.264858 -2.989664);1
Autorização;5323;14/09/2023;13/09/2024;2;Ativo;Capitão Poço;PA;2021/0000043724;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-2,424347;-47,34035;NURE-PARAG;Encaminhado;FAZENDA SANTA ODILIA I;Capitão Poço,PA, Brasil;28/12/2021;2023;2021;PARA;Afugentamento e Resgate de Fauna;2024;BRASIL;POINT(-47.34035 -2.424347);1
Autorização;4998;25/05/2022;25/05/2023;2;Ativo;Mojuí Dos Campos;PA;2022/0000011462;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Bovinocultura e Bubalinocultura;-3,465472;-54,747236;NURE-SAN;Deferido;LOTE 045 DO PA MOJUI I;Mojuí Dos Campos,PA, Brasil;07/04/2022;2022;2022;PARA;ASV DE FLORESTA SECUNDÁRIA EM ESTÁGIO INICIAL DE REGENERAÇÃO;2023;BRASIL;POINT(-54.747236 -3.465472);1
Autorização;5044;04/08/2022;04/08/2023;2;Ativo;Ulianópolis;PA;2022/0000003113;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-3,974722;-47,550278;NURE-PARAG;Notificação de Pendência;Fazenda Dois Rios;Ulianópolis,PA, Brasil;27/01/2022;2022;2022;PARA;Resgate, Transporte e Translocação de Fauna Silvestre (Ictiofauna);2023;BRASIL;POINT(-47.550278 -3.974722);1
Autorização;4997;25/05/2022;25/05/2023;2;Ativo;Mojuí Dos Campos;PA;2022/0000011471;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Bovinocultura e Bubalinocultura;-3,464244;-54,744097;NURE-SAN;Deferido;LOTE 044 DO PA MOJUI I e II - SÍTIO NOVA VIDA;Mojuí Dos Campos,PA, Brasil;07/04/2022;2022;2022;PARA;ASV DE FLORESTA SECUNDÁRIA EM ESTÁGIO INICIAL DE REGENERAÇÃO;2023;BRASIL;POINT(-54.744097 -3.464244);1
Autorização;5099;01/11/2022;01/11/2023;2;Ativo;Prainha;PA;2022/0000029022;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-2,678639;-53,341917;NURE-SAN;Arquivado;FELIPE FELICISSIMO CARREIRA;Prainha,PA, Brasil;17/08/2022;2022;2022;PARA;Autorização de captura, coleta, resgate, transporte e soltura de fauna silvestre;2023;BRASIL;POINT(-53.341917 -2.678639);1
Autorização;5102;21/11/2022;21/11/2023;2;Ativo;Prainha;PA;2022/0000028993;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-2,675156;-53,349394;NURE-SAN;Arquivado;ILZO BAIA XAVIER;Prainha,PA, Brasil;17/08/2022;2022;2022;PARA;Autorização de captura, coleta, resgate, transporte e soltura de fauna silvestre;2023;BRASIL;POINT(-53.349394 -2.675156);1
Autorização;5289;28/07/2023;27/07/2024;2;Ativo;Novo Progresso;PA;2022/0000031993;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Supressão de vegetação para o uso alternativo do solo em floresta primária;-7,450261;-55,151164;NURE-SAN;Arquivado;FAZENDA MORROS VERDES;Novo Progresso,PA, Brasil;05/09/2022;2023;2022;PARA;Autorização para Resgate de Fauna em frentes de supressão vegetal;2024;BRASIL;POINT(-55.151164 -7.450261);1
Autorização;5515;08/04/2024;08/04/2025;2;Ativo;Novo Progresso;PA;2023/0000002598;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-6,827828;-55,420508;NURE-SAN;Arquivado;OLIVIO MARTINELO - FAZENDA MARTINELO;Novo Progresso,PA, Brasil;24/01/2023;2024;2023;PARA;Captura, Coleta, Resgate, Transporte e Soltura da Fauna Silvestre;2025;BRASIL;POINT(-55.420508 -6.827828);1
Autorização;5512;01/04/2024;01/04/2025;2;Ativo;Altamira;PA;2022/0000034986;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-7,753931;-54,924792;NURE-SAN;Arquivado;EDSON BERTI;Altamira,PA, Brasil;28/09/2022;2024;2022;PARA;Captura, coleta, resgate, transporte e soltura de fauna silvestre;2025;BRASIL;POINT(-54.924792 -7.753931);1
Autorização;5379;05/12/2023;04/12/2024;2;Ativo;Itaituba;PA;2022/0000034428;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-6,612625;-56,287819;NURE-SAN;Arquivado;FAZENDA CACHOEIRA SÃO LUIZ;Itaituba,PA, Brasil;22/09/2022;2023;2022;PARA;Autorização para Resgate de Fauna em frentes de supressão vegetal;2024;BRASIL;POINT(-56.287819 -6.612625);1
Autorização;5235;24/05/2023;23/05/2024;2;Ativo;Conceição Do Araguaia;PA;2022/0000034614;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Supressões de vegetação para o uso alternativo do solo em floresta secundária;-8,109689;-49,383633;DLA;Encaminhado;FAZENDA COVADONGA;Conceição Do Araguaia,PA, Brasil;23/09/2022;2023;2022;PARA;Autorização de Afugentamento, Resgate e Captura de fauna silvestre;2024;BRASIL;POINT(-49.383633 -8.109689);1
Autorização;5234;24/05/2023;23/05/2024;2;Ativo;Conceição Do Araguaia;PA;2022/0000034614;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Supressões de vegetação para o uso alternativo do solo em floresta secundária;-8,109689;-49,383633;DLA;Encaminhado;FAZENDA COVADONGA;Conceição Do Araguaia,PA, Brasil;23/09/2022;2023;2022;PARA;Autorização de Supressão de Vegetação.;2024;BRASIL;POINT(-49.383633 -8.109689);1
Autorização;5153;17/01/2023;17/01/2024;2;Ativo;Tomé-Açu;PA;2022/0000045596;SEM ATIVIDADE PRINCIPAL ASSOCIADA;Captura, Coleta, Resgate, Transporte e Soltura de fauna silvestre, inclusive em área de supressão florestal;-2,414542;-48,138894;DLA;Encaminhado;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Tomé-Açu,PA, Brasil;29/12/2022;2023;2022;PARA;AUTORIZAÇÃO_FAUNA;2024;BRASIL;POINT(-48.138894 -2.414542);1
